time,Fx_real,Fy_real,Fz_real,,,
7.077759,-0.853297258,0.275563333,0.171267558,,,
7.079328,-0.855556955,0.167929711,0.052838103,,,
7.080897,-0.952470362,0.209640687,0.067935367,,,
7.082466,-0.975476564,0.297960129,0.048114091,,,
7.084035,-0.889657023,0.287110916,-0.01254186,,,
7.085604,-0.788086328,0.265368008,-0.045690008,,,
7.087173,-0.875725192,0.199427569,0.08246326,,,
7.088742,-1.024473727,0.238318372,0.165213528,,,
7.090311,-0.964333769,0.277222519,0.212671606,,,
7.09188,-0.898713602,0.254816826,0.192352129,,,
7.093449,-0.888869687,0.173454403,0.159159499,,,
7.095018,-0.878434159,0.22258946,0.124076374,,,
7.096587,-0.910372391,0.175553963,0.034591497,,,
7.098156,-0.950762244,0.23137025,-0.002764669,,,
7.099725,-0.898580155,0.245635697,-0.01246624,,,
7.101294,-0.843070797,0.254122904,-0.051405973,,,
7.102863,-0.852976986,0.143104186,-0.026211245,,,
7.104432,-0.889194408,0.262650145,0.071271534,,,
7.106001,-0.999092174,0.292315336,0.200207689,,,
7.10757,-0.970752553,0.305628863,0.183473479,,,
7.109139,-0.899434214,0.207772433,0.140027697,,,
7.110708,-0.901177917,0.159589296,0.134689831,,,
7.112277,-0.917173722,0.181256584,0.102836115,,,
7.113846,-0.965316826,0.206958409,0.069545624,,,
7.115415,-0.937675576,0.328973131,0.005175407,,,
7.116984,-0.900137033,0.211197564,-0.081969705,,,
7.118553,-0.880911819,0.28117254,-0.055226996,,,
7.120122,-0.803806343,0.216023885,-0.00183499,,,
7.121691,-0.966855911,0.240702619,0.163701133,,,
7.12326,-0.980636502,0.24272656,0.17796658,,,
7.124829,-0.928983751,0.25913605,0.163754512,,,
7.126398,-0.855783814,0.215926024,0.165680592,,,
7.127967,-0.914233448,0.184236892,0.111541285,,,
7.129536,-0.880297964,0.225796628,0.045956704,,,
7.131105,-0.924064018,0.206936168,0.01254611,,,
7.132674,-0.924001743,0.26641334,-0.038488337,,,
7.134243,-0.819330637,0.26961606,-0.076783078,,,
7.135812,-0.810821189,0.289357268,-0.037963447,,,
7.137381,-0.927538079,0.249572373,0.136486912,,,
7.13895,-0.974408991,0.277373759,0.156566185,,,
7.140519,-0.970761449,0.262997106,0.214370827,,,
7.142088,-0.892984292,0.201157928,0.183135414,,,
7.143657,-0.858430506,0.192114693,0.133003955,,,
7.145226,-0.864079748,0.212505341,0.118516097,,,
7.146795,-0.927920626,0.210227852,0.070159478,,,
7.148364,-0.961242255,0.24017328,0.03818566,,,
7.149933,-0.903068411,0.302181491,0.038781722,,,
7.151502,-0.85726952,0.221152684,-0.023569002,,,
7.153071,-0.828155909,0.255644196,-0.007631023,,,
7.15464,-0.920176272,0.220672276,0.126046936,,,
7.156209,-1.002414995,0.244883947,0.205421005,,,
7.157778,-1.003366915,0.291216625,0.223712092,,,
7.159347,-0.915843704,0.232940472,0.25396,,,
7.160916,-0.895444159,0.221179374,0.165538249,,,
7.162485,-0.891342899,0.201393683,0.141922639,,,
7.164054,-0.942541931,0.230182574,0.063940864,,,
7.165623,-0.975859111,0.327869972,0.089473657,,,
7.167192,-0.903015032,0.271408693,-0.022385775,,,
7.168761,-0.866517373,0.238869952,-0.03172704,,,
7.17033,-0.8388094,0.234942172,0.0448402,,,
7.171899,-0.932279883,0.24895407,0.106470312,,,
7.173468,-0.99962596,0.270794839,0.237270272,,,
7.175037,-0.891035971,0.252437028,0.220496028,,,
7.176606,-0.906475749,0.215845956,0.194602929,,,
7.178175,-0.86732695,0.19309775,0.171316489,,,
7.179744,-0.904700909,0.223025386,0.106461416,,,
7.181313,-0.949859255,0.253179881,0.046010083,,,
7.182882,-0.998086875,0.314796648,0.012950899,,,
7.184451,-0.853537462,0.3065363,-0.050040369,,,
7.18602,-0.819268362,0.297977922,-0.044004132,,,
7.187589,-0.87097894,0.276626458,0.066467454,,,
7.189158,-0.949792532,0.246160587,0.172223926,,,
7.190727,-0.955263845,0.360208544,0.222706794,,,
7.192296,-0.965214517,0.278766052,0.205376522,,,
7.193865,-0.839352083,0.251863207,0.171730173,,,
7.195434,-0.904465153,0.226205864,0.094598008,,,
7.197003,-0.926292577,0.215436719,0.089998547,,,
7.198572,-0.940153236,0.302466178,0.041348346,,,
7.200141,-0.945998199,0.247374951,-0.006576795,,,
7.20171,-0.871784068,0.263717718,-0.057571209,,,
